city,site_set,arm,n_sites,n_sites_before_intersection,n_pairs,median_pair_m,mean_pair_m,p90_pair_m,mean_pair_over_range,n_pairs_both_measured,median_pair_m_both_measured,n_pairs_welldet,median_pair_m_welldet,n_pairs_welldet_grade_2+,median_pair_m_welldet_grade_2+,median_pair_m_grade_0-1,mean_pair_m_grade_0-1,p90_pair_m_grade_0-1,n_pairs_grade_0-1,median_pair_m_tilt_0-1,n_pairs_tilt_0-1,median_pair_m_grade_1-2,mean_pair_m_grade_1-2,p90_pair_m_grade_1-2,n_pairs_grade_1-2,median_pair_m_tilt_1-2,n_pairs_tilt_1-2,median_pair_m_grade_2-4,mean_pair_m_grade_2-4,p90_pair_m_grade_2-4,n_pairs_grade_2-4,median_pair_m_tilt_2-4,n_pairs_tilt_2-4,median_pair_m_grade_4+,mean_pair_m_grade_4+,p90_pair_m_grade_4+,n_pairs_grade_4+,median_pair_m_tilt_4+,n_pairs_tilt_4+,median_pair_m_side_left,n_pairs_side_left,median_pair_m_side_left_cross_2+,n_pairs_side_left_cross_2+,median_pair_m_side_right,n_pairs_side_right,median_pair_m_side_right_cross_2+,n_pairs_side_right_cross_2+,median_pair_m_side_mixed,n_pairs_side_mixed,median_pair_m_side_mixed_cross_2+,n_pairs_side_mixed_cross_2+
bend,uncapped,off,11595,11655,83164,1.7019368214505652,2.059490100752314,4.218621249807991,0.15398801148409358,67944,1.6920337928012736,21315,1.6992158045859556,497,1.9153286196187542,1.6919007701772542,2.0525546052948833,4.23043512846136,44009,1.6110615054981847,12310,1.6861050279571426,2.068220500953632,4.300892905100997,18490,1.6842304872782246,32523,1.710477295211306,2.078131151270109,4.291477457906944,4685,1.7497285196378312,19928,1.7036848291614872,2.047661504552669,4.040943538150131,760,1.7160853213525584,3183,1.7298640046529783,20706,1.7478179809760508,5446,1.5102324851757518,23105,1.641559220665254,5581,1.8125093463700876,24133,1.8573437620520032,6143
bend,uncapped,ground-normal,11595,11655,83164,2.0783904495046497,2.812090194389191,5.68346211331195,0.20147439247693372,67944,2.120921917850622,21315,2.0209841822091903,497,2.647758525839393,2.02697372296924,2.5766793389052536,5.316806088863455,44009,1.6881405655761315,12310,2.1726992083504584,2.970821458862119,6.366694313834299,18490,1.9866523016173723,32523,2.909603584377749,4.705592792336692,10.506212766448822,4685,2.4758781483638734,19928,4.589817276254024,8.087162681581908,17.743357421549295,760,3.9168867164409638,3183,2.0976622822233724,20706,2.649497826197322,5446,1.9726177117207666,23105,2.68263089028323,5581,2.2785838047695575,24133,2.9407387441000497,6143
bend,uncapped,shuffled-normal,11595,11655,83164,2.1409375145648455,3.055137160519914,6.038342634384192,0.21116775111476904,67944,2.207552873526918,21315,2.240845834886318,497,2.2876358579666656,2.2335491099641462,3.221365069173306,6.369029527337791,44009,2.2006935159663277,12310,2.1570781246377444,3.1280213094393594,6.2238848142461,18490,2.182962815531959,32523,2.15654351975438,3.034793592750077,6.104746928127826,4685,2.2402526443651825,19928,2.2537194894681614,3.1667107214514347,6.2103692502233345,760,2.2681126234177356,3183,2.148958129161093,20706,2.1974659007864656,5446,2.081685791135514,23105,2.1665853473223255,5581,2.365272219679444,24133,2.4189440211173987,6143
bend,capped,off,9734,11655,63706,1.6208466544694062,1.9741621391478743,4.04132531871766,0.15185257789545759,50906,1.5899696750307382,16237,1.599601715629639,327,1.7964525319204532,1.6026201475565998,1.9686564235694897,4.060319416666171,33790,1.5417249247064473,9512,1.5706714366766747,1.9511870143326908,4.087897781915237,13528,1.5858649940439058,24534,1.552422757235867,1.913730450527137,3.9824388094176584,3196,1.6369672109007936,14834,1.5877993307477676,1.9315802009731136,3.7466624647285074,392,1.518205004010121,2026,1.6661578682111693,16408,1.6666928155151726,4306,1.3879297674290438,16839,1.4931475818361424,3898,1.7178571036428893,17659,1.7287474263466804,4416
bend,capped,ground-normal,9734,11655,63706,1.9339878961257209,2.3902665715897293,4.869993149716488,0.18680069811113686,50906,1.951684911021383,16237,1.8864641728457772,327,2.404978073752404,1.9128242708029246,2.3493447949622297,4.8331771750908805,33790,1.616714109791921,9512,1.9213321858149526,2.410746854798227,4.935108531998121,13528,1.8397683640751787,24534,2.453717680177079,3.0422227323653668,6.406342205501885,3196,2.2512331842541173,14834,3.959565175568007,4.965674146012718,10.441271573496811,392,3.3077734598412096,2026,1.9919750923759652,16408,2.48727733032125,4306,1.756603079211371,16839,2.307675124937867,3898,2.102018095031364,17659,2.614858452368948,4416
bend,capped,shuffled-normal,9734,11655,63706,1.969195509557271,2.4669136303058963,5.091429212970482,0.19234709426549973,50906,2.002808674038661,16237,2.004332427413855,327,2.0391202605299443,2.033702385690907,2.5583180836308888,5.302157859487133,33790,1.9904802634887877,9512,1.965436200050811,2.480809666145273,5.197956475901377,13528,1.992712756373027,24534,1.8607725833991986,2.395812137591714,5.021205700058083,3196,2.0341192812500184,14834,2.0689949775474776,2.3839909985800585,4.918897491276548,392,1.9451904934691613,2026,2.0187417689270206,16408,2.0607192425355954,4306,1.832873056657793,16839,1.8702395337779794,3898,2.1404234612547106,17659,2.1581384879208048,4416
bend,uncapped_4arm,off,11590,11655,83123,1.7016636618177534,2.0592572141866974,4.217681302962759,0.1539700725775693,67911,1.6917841723658193,21310,1.6990046356285962,497,1.9153286196187542,1.6917769199242745,2.0520807412092394,4.230009522744514,43991,1.6117691425022693,12308,1.6861050279571426,2.0682825341740827,4.2987955636367,18479,1.6836688234118864,32503,1.7097218123322986,2.077058087461955,4.291477457906944,4681,1.7492824707503594,19917,1.7036848291614872,2.047661504552669,4.040943538150131,760,1.7160853213525584,3183,1.729462790437898,20698,1.7478179809760508,5446,1.5098873740594538,23098,1.641559220665254,5581,1.812292186471111,24115,1.8573437620520032,6143
bend,uncapped_4arm,ground-normal,11590,11655,83123,2.0778201165469867,2.8111860072254045,5.680243053553383,0.20142942249119733,67911,2.120399576771029,21310,2.0205581676495257,497,2.647758525839393,2.026497005152252,2.5755799801690418,5.313453780717443,43991,1.6881405655761315,12308,2.1721060231197717,2.9698249996205273,6.36234780584098,18479,1.985972630063641,32503,2.909603584377749,4.707276220775184,10.506212766448822,4681,2.4758781483638734,19917,4.589817276254024,8.087162681581908,17.743357421549295,760,3.9168867164409638,3183,2.096998868348536,20698,2.649497826197322,5446,1.971970867479183,23098,2.68263089028323,5581,2.2773906444984635,24115,2.9407387441000497,6143
bend,uncapped_4arm,shuffled-normal,11590,11655,83123,2.1406014816707573,3.0549184747228537,6.038341843665743,0.2111426768148857,67911,2.2069581062177694,21310,2.240405141576536,497,2.2876358579666656,2.233107632030278,3.220961578478995,6.3688272093520375,43991,2.2007206324701656,12308,2.157306376522598,3.128194347805752,6.2238848142461,18479,2.1809651906768273,32503,2.1529897133921065,3.0339723415513498,6.104746928127826,4681,2.240250138961482,19917,2.2537194894681614,3.1667107214514347,6.2103692502233345,760,2.2681126234177356,3183,2.1483832358282196,20698,2.1974659007864656,5446,2.0812977978581633,23098,2.1665853473223255,5581,2.3647894364671203,24115,2.4189440211173987,6143
bend,uncapped_4arm,rig-attitude-normal,11590,11655,83123,2.200626231643285,3.148941266292894,6.502865654859493,0.21862082251226328,67911,2.2635231140292187,21310,2.22505048930698,497,2.411394359683059,2.2554368984942337,3.1972810105299514,6.662244666849004,43991,2.1414211963260996,12308,2.267811019577162,3.425781918026202,7.249975224073691,18479,2.2194090223630876,32503,2.3149486417717458,3.409722746961649,7.095855304517049,4681,2.416210666151639,19917,2.4497845865616297,3.2672264005577865,6.946535602921364,760,2.4197325104111083,3183,2.2372741673290553,20698,2.344369879542973,5446,2.100978851053033,23098,2.3048800348430802,5581,2.4587286871443923,24115,2.6671588173712024,6143
